Points_0,Points_1,Points_2,qr
0.36,0,0.05,-43351.9
0.361,0,0.05,-43345.9
0.362,0,0.05,-43339.9
0.363,0,0.05,-43333.9
0.364,0,0.05,-43328
0.365,0,0.05,-43322
0.366,0,0.05,-43316
0.367,0,0.05,-43310.5
0.368,0,0.05,-43305.9
0.369,0,0.05,-43301.3
0.37,0,0.05,-43296.8
0.371,0,0.05,-43292.2
0.372,0,0.05,-43287.6
0.373,0,0.05,-43283.1
0.374,0,0.05,-43278.5
0.375,0,0.05,-43273.9
0.376,0,0.05,-43269.4
0.377,0,0.05,-43264.8
0.378,0,0.05,-43260.2
0.379,0,0.05,-43255.7
0.38,0,0.05,-43251.1
0.381,0,0.05,-43246.5
0.382,0,0.05,-43242
0.383,0,0.05,-43237.4
0.384,0,0.05,-43232.8
0.385,0,0.05,-43228.3
0.386,0,0.05,-43223.7
0.387,0,0.05,-43219.1
0.388,0,0.05,-43214.6
0.389,0,0.05,-43210
0.39,0,0.05,-43205.4
0.391,0,0.05,-43200.9
0.392,0,0.05,-43196.3
0.393,0,0.05,-43191.7
0.394,0,0.05,-43187.2
0.395,0,0.05,-43182.6
0.396,0,0.05,-43178
0.397,0,0.05,-43173.5
0.398,0,0.05,-43168.9
0.399,0,0.05,-43164.3
0.4,0,0.05,-43159.8
0.401,0,0.05,-43156.5
0.402,0,0.05,-43153.3
0.403,0,0.05,-43150.1
0.404,0,0.05,-43146.9
0.405,0,0.05,-43143.7
0.406,0,0.05,-43140.4
0.407,0,0.05,-43137.2
0.408,0,0.05,-43134
0.409,0,0.05,-43130.8
0.41,0,0.05,-43127.6
0.411,0,0.05,-43124.4
0.412,0,0.05,-43121.1
0.413,0,0.05,-43117.9
0.414,0,0.05,-43114.7
0.415,0,0.05,-43111.5
0.416,0,0.05,-43108.3
0.417,0,0.05,-43105.1
0.418,0,0.05,-43101.8
0.419,0,0.05,-43098.6
0.42,0,0.05,-43095.4
0.421,0,0.05,-43092.2
0.422,0,0.05,-43089
0.423,0,0.05,-43085.7
0.424,0,0.05,-43082.5
0.425,0,0.05,-43079.3
0.426,0,0.05,-43076.1
0.427,0,0.05,-43072.9
0.428,0,0.05,-43069.7
0.429,0,0.05,-43066.4
0.43,0,0.05,-43063.2
0.431,0,0.05,-43060
0.432,0,0.05,-43056.8
0.433,0,0.05,-43053.6
0.434,0,0.05,-43051.2
0.435,0,0.05,-43049.3
0.436,0,0.05,-43047.4
0.437,0,0.05,-43045.5
0.438,0,0.05,-43043.6
0.439,0,0.05,-43041.7
0.44,0,0.05,-43039.7
0.441,0,0.05,-43037.8
0.442,0,0.05,-43035.9
0.443,0,0.05,-43034
0.444,0,0.05,-43032.1
0.445,0,0.05,-43030.2
0.446,0,0.05,-43028.3
0.447,0,0.05,-43026.3
0.448,0,0.05,-43024.4
0.449,0,0.05,-43022.5
0.45,0,0.05,-43020.6
0.451,0,0.05,-43018.7
0.452,0,0.05,-43016.8
0.453,0,0.05,-43014.9
0.454,0,0.05,-43012.9
0.455,0,0.05,-43011
0.456,0,0.05,-43009.1
0.457,0,0.05,-43007.2
0.458,0,0.05,-43005.3
0.459,0,0.05,-43003.4
0.46,0,0.05,-43001.5
0.461,0,0.05,-42999.5
0.462,0,0.05,-42997.6
0.463,0,0.05,-42995.7
0.464,0,0.05,-42993.8
0.465,0,0.05,-42991.9
0.466,0,0.05,-42990
0.467,0,0.05,-42988.5
0.468,0,0.05,-42987.9
0.469,0,0.05,-42987.2
0.47,0,0.05,-42986.6
0.471,0,0.05,-42985.9
0.472,0,0.05,-42985.3
0.473,0,0.05,-42984.7
0.474,0,0.05,-42984
0.475,0,0.05,-42983.4
0.476,0,0.05,-42982.8
0.477,0,0.05,-42982.1
0.478,0,0.05,-42981.5
0.479,0,0.05,-42980.9
0.48,0,0.05,-42980.2
0.481,0,0.05,-42979.6
0.482,0,0.05,-42978.9
0.483,0,0.05,-42978.3
0.484,0,0.05,-42977.7
0.485,0,0.05,-42977
0.486,0,0.05,-42976.4
0.487,0,0.05,-42975.8
0.488,0,0.05,-42975.1
0.489,0,0.05,-42974.5
0.49,0,0.05,-42973.9
0.491,0,0.05,-42973.2
0.492,0,0.05,-42972.6
0.493,0,0.05,-42972
0.494,0,0.05,-42971.3
0.495,0,0.05,-42970.7
0.496,0,0.05,-42970
0.497,0,0.05,-42969.4
0.498,0,0.05,-42968.8
0.499,0,0.05,-42968.1
0.5,0,0.05,-42967.5
0.501,0,0.05,-42968.1
0.502,0,0.05,-42968.8
0.503,0,0.05,-42969.4
0.504,0,0.05,-42970
0.505,0,0.05,-42970.7
0.506,0,0.05,-42971.3
0.507,0,0.05,-42972
0.508,0,0.05,-42972.6
0.509,0,0.05,-42973.2
0.51,0,0.05,-42973.9
0.511,0,0.05,-42974.5
0.512,0,0.05,-42975.1
0.513,0,0.05,-42975.8
0.514,0,0.05,-42976.4
0.515,0,0.05,-42977
0.516,0,0.05,-42977.7
0.517,0,0.05,-42978.3
0.518,0,0.05,-42978.9
0.519,0,0.05,-42979.6
0.52,0,0.05,-42980.2
0.521,0,0.05,-42980.9
0.522,0,0.05,-42981.5
0.523,0,0.05,-42982.1
0.524,0,0.05,-42982.8
0.525,0,0.05,-42983.4
0.526,0,0.05,-42984
0.527,0,0.05,-42984.7
0.528,0,0.05,-42985.3
0.529,0,0.05,-42985.9
0.53,0,0.05,-42986.6
0.531,0,0.05,-42987.2
0.532,0,0.05,-42987.9
0.533,0,0.05,-42988.5
0.534,0,0.05,-42990
0.535,0,0.05,-42991.9
0.536,0,0.05,-42993.8
0.537,0,0.05,-42995.7
0.538,0,0.05,-42997.6
0.539,0,0.05,-42999.5
0.54,0,0.05,-43001.5
0.541,0,0.05,-43003.4
0.542,0,0.05,-43005.3
0.543,0,0.05,-43007.2
0.544,0,0.05,-43009.1
0.545,0,0.05,-43011
0.546,0,0.05,-43012.9
0.547,0,0.05,-43014.9
0.548,0,0.05,-43016.8
0.549,0,0.05,-43018.7
0.55,0,0.05,-43020.6
0.551,0,0.05,-43022.5
0.552,0,0.05,-43024.4
0.553,0,0.05,-43026.3
0.554,0,0.05,-43028.3
0.555,0,0.05,-43030.2
0.556,0,0.05,-43032.1
0.557,0,0.05,-43034
0.558,0,0.05,-43035.9
0.559,0,0.05,-43037.8
0.56,0,0.05,-43039.7
0.561,0,0.05,-43041.7
0.562,0,0.05,-43043.6
0.563,0,0.05,-43045.5
0.564,0,0.05,-43047.4
0.565,0,0.05,-43049.3
0.566,0,0.05,-43051.2
0.567,0,0.05,-43053.6
0.568,0,0.05,-43056.8
0.569,0,0.05,-43060
0.57,0,0.05,-43063.2
0.571,0,0.05,-43066.4
0.572,0,0.05,-43069.7
0.573,0,0.05,-43072.9
0.574,0,0.05,-43076.1
0.575,0,0.05,-43079.3
0.576,0,0.05,-43082.5
0.577,0,0.05,-43085.7
0.578,0,0.05,-43089
0.579,0,0.05,-43092.2
0.58,0,0.05,-43095.4
0.581,0,0.05,-43098.6
0.582,0,0.05,-43101.8
0.583,0,0.05,-43105.1
0.584,0,0.05,-43108.3
0.585,0,0.05,-43111.5
0.586,0,0.05,-43114.7
0.587,0,0.05,-43117.9
0.588,0,0.05,-43121.1
0.589,0,0.05,-43124.4
0.59,0,0.05,-43127.6
0.591,0,0.05,-43130.8
0.592,0,0.05,-43134
0.593,0,0.05,-43137.2
0.594,0,0.05,-43140.4
0.595,0,0.05,-43143.7
0.596,0,0.05,-43146.9
0.597,0,0.05,-43150.1
0.598,0,0.05,-43153.3
0.599,0,0.05,-43156.5
0.6,0,0.05,-43159.8
0.601,0,0.05,-43164.3
0.602,0,0.05,-43168.9
0.603,0,0.05,-43173.5
0.604,0,0.05,-43178
0.605,0,0.05,-43182.6
0.606,0,0.05,-43187.2
0.607,0,0.05,-43191.7
0.608,0,0.05,-43196.3
0.609,0,0.05,-43200.9
0.61,0,0.05,-43205.4
0.611,0,0.05,-43210
0.612,0,0.05,-43214.6
0.613,0,0.05,-43219.1
0.614,0,0.05,-43223.7
0.615,0,0.05,-43228.3
0.616,0,0.05,-43232.8
0.617,0,0.05,-43237.4
0.618,0,0.05,-43242
0.619,0,0.05,-43246.5
0.62,0,0.05,-43251.1
0.621,0,0.05,-43255.7
0.622,0,0.05,-43260.2
0.623,0,0.05,-43264.8
0.624,0,0.05,-43269.4
0.625,0,0.05,-43273.9
0.626,0,0.05,-43278.5
0.627,0,0.05,-43283.1
0.628,0,0.05,-43287.6
0.629,0,0.05,-43292.2
0.63,0,0.05,-43296.8
