Points_0,Points_1,Points_2,qr
1,0.331,0.05,19694.4
1,0.332,0.05,19659.8
1,0.333,0.05,19625.1
1,0.334,0.05,19591.8
1,0.335,0.05,19559
1,0.336,0.05,19526.2
1,0.337,0.05,19493.5
1,0.338,0.05,19460.7
1,0.339,0.05,19427.9
1,0.34,0.05,19395.2
1,0.341,0.05,19362.4
1,0.342,0.05,19329.6
1,0.343,0.05,19296.9
1,0.344,0.05,19264.1
1,0.345,0.05,19231.3
1,0.346,0.05,19198.6
1,0.347,0.05,19165.8
1,0.348,0.05,19133
1,0.349,0.05,19100.3
1,0.35,0.05,19067.5
1,0.351,0.05,19034.7
1,0.352,0.05,19002
1,0.353,0.05,18969.2
1,0.354,0.05,18936.4
1,0.355,0.05,18903.7
1,0.356,0.05,18870.9
1,0.357,0.05,18838.1
1,0.358,0.05,18805.4
1,0.359,0.05,18772.6
1,0.36,0.05,18739.8
1,0.361,0.05,18707.1
1,0.362,0.05,18674.3
1,0.363,0.05,18641.5
1,0.364,0.05,18608.8
1,0.365,0.05,18576
1,0.366,0.05,18543.2
1,0.367,0.05,18511
1,0.368,0.05,18480
1,0.369,0.05,18448.9
1,0.37,0.05,18417.9
1,0.371,0.05,18386.8
1,0.372,0.05,18355.8
1,0.373,0.05,18324.7
1,0.374,0.05,18293.7
1,0.375,0.05,18262.6
1,0.376,0.05,18231.6
1,0.377,0.05,18200.5
1,0.378,0.05,18169.5
1,0.379,0.05,18138.4
1,0.38,0.05,18107.4
1,0.381,0.05,18076.3
1,0.382,0.05,18045.3
1,0.383,0.05,18014.2
1,0.384,0.05,17983.2
1,0.385,0.05,17952.1
1,0.386,0.05,17921.1
1,0.387,0.05,17890
1,0.388,0.05,17859
1,0.389,0.05,17827.9
1,0.39,0.05,17796.9
1,0.391,0.05,17765.8
1,0.392,0.05,17734.8
1,0.393,0.05,17703.7
1,0.394,0.05,17672.7
1,0.395,0.05,17641.6
1,0.396,0.05,17610.6
1,0.397,0.05,17579.5
1,0.398,0.05,17548.5
1,0.399,0.05,17517.4
1,0.4,0.05,17486.3
1,0.401,0.05,17456.9
1,0.402,0.05,17427.4
1,0.403,0.05,17397.9
1,0.404,0.05,17368.5
1,0.405,0.05,17339
1,0.406,0.05,17309.5
1,0.407,0.05,17280.1
1,0.408,0.05,17250.6
1,0.409,0.05,17221.1
1,0.41,0.05,17191.7
1,0.411,0.05,17162.2
1,0.412,0.05,17132.7
1,0.413,0.05,17103.3
1,0.414,0.05,17073.8
1,0.415,0.05,17044.3
1,0.416,0.05,17014.8
1,0.417,0.05,16985.4
1,0.418,0.05,16955.9
1,0.419,0.05,16926.4
1,0.42,0.05,16897
1,0.421,0.05,16867.5
1,0.422,0.05,16838
1,0.423,0.05,16808.6
1,0.424,0.05,16779.1
1,0.425,0.05,16749.6
1,0.426,0.05,16720.2
1,0.427,0.05,16690.7
1,0.428,0.05,16661.2
1,0.429,0.05,16631.8
1,0.43,0.05,16602.3
1,0.431,0.05,16572.8
1,0.432,0.05,16543.3
1,0.433,0.05,16513.9
1,0.434,0.05,16485.4
1,0.435,0.05,16457.4
1,0.436,0.05,16429.4
1,0.437,0.05,16401.4
1,0.438,0.05,16373.4
1,0.439,0.05,16345.4
1,0.44,0.05,16317.4
1,0.441,0.05,16289.4
1,0.442,0.05,16261.5
1,0.443,0.05,16233.5
1,0.444,0.05,16205.5
1,0.445,0.05,16177.5
1,0.446,0.05,16149.5
1,0.447,0.05,16121.5
1,0.448,0.05,16093.5
1,0.449,0.05,16065.5
1,0.45,0.05,16037.5
1,0.451,0.05,16009.5
1,0.452,0.05,15981.5
1,0.453,0.05,15953.6
1,0.454,0.05,15925.6
1,0.455,0.05,15897.6
1,0.456,0.05,15869.6
1,0.457,0.05,15841.6
1,0.458,0.05,15813.6
1,0.459,0.05,15785.6
1,0.46,0.05,15757.6
1,0.461,0.05,15729.6
1,0.462,0.05,15701.6
1,0.463,0.05,15673.6
1,0.464,0.05,15645.6
1,0.465,0.05,15617.7
1,0.466,0.05,15589.7
1,0.467,0.05,15562.1
1,0.468,0.05,15535.5
1,0.469,0.05,15508.9
1,0.47,0.05,15482.3
1,0.471,0.05,15455.7
1,0.472,0.05,15429.1
1,0.473,0.05,15402.5
1,0.474,0.05,15375.9
1,0.475,0.05,15349.3
1,0.476,0.05,15322.7
1,0.477,0.05,15296
1,0.478,0.05,15269.4
1,0.479,0.05,15242.8
1,0.48,0.05,15216.2
1,0.481,0.05,15189.6
1,0.482,0.05,15163
1,0.483,0.05,15136.4
1,0.484,0.05,15109.8
1,0.485,0.05,15083.2
1,0.486,0.05,15056.6
1,0.487,0.05,15030
1,0.488,0.05,15003.4
1,0.489,0.05,14976.7
1,0.49,0.05,14950.1
1,0.491,0.05,14923.5
1,0.492,0.05,14896.9
1,0.493,0.05,14870.3
1,0.494,0.05,14843.7
1,0.495,0.05,14817.1
1,0.496,0.05,14790.5
1,0.497,0.05,14763.9
1,0.498,0.05,14737.3
1,0.499,0.05,14710.7
1,0.5,0.05,14684.1
1,0.501,0.05,14658.7
1,0.502,0.05,14633.4
1,0.503,0.05,14608.1
1,0.504,0.05,14582.8
1,0.505,0.05,14557.5
1,0.506,0.05,14532.1
1,0.507,0.05,14506.8
1,0.508,0.05,14481.5
1,0.509,0.05,14456.2
1,0.51,0.05,14430.9
1,0.511,0.05,14405.6
1,0.512,0.05,14380.2
1,0.513,0.05,14354.9
1,0.514,0.05,14329.6
1,0.515,0.05,14304.3
1,0.516,0.05,14279
1,0.517,0.05,14253.7
1,0.518,0.05,14228.3
1,0.519,0.05,14203
1,0.52,0.05,14177.7
1,0.521,0.05,14152.4
1,0.522,0.05,14127.1
1,0.523,0.05,14101.8
1,0.524,0.05,14076.4
1,0.525,0.05,14051.1
1,0.526,0.05,14025.8
1,0.527,0.05,14000.5
1,0.528,0.05,13975.2
1,0.529,0.05,13949.9
1,0.53,0.05,13924.5
1,0.531,0.05,13899.2
1,0.532,0.05,13873.9
1,0.533,0.05,13848.6
1,0.534,0.05,13824.1
1,0.535,0.05,13800
1,0.536,0.05,13775.9
1,0.537,0.05,13751.8
1,0.538,0.05,13727.7
1,0.539,0.05,13703.6
1,0.54,0.05,13679.5
1,0.541,0.05,13655.3
1,0.542,0.05,13631.2
1,0.543,0.05,13607.1
1,0.544,0.05,13583
1,0.545,0.05,13558.9
1,0.546,0.05,13534.8
1,0.547,0.05,13510.7
1,0.548,0.05,13486.6
1,0.549,0.05,13462.5
1,0.55,0.05,13438.4
1,0.551,0.05,13414.3
1,0.552,0.05,13390.2
1,0.553,0.05,13366.1
1,0.554,0.05,13342
1,0.555,0.05,13317.9
1,0.556,0.05,13293.8
1,0.557,0.05,13269.7
1,0.558,0.05,13245.6
1,0.559,0.05,13221.5
1,0.56,0.05,13197.4
1,0.561,0.05,13173.2
1,0.562,0.05,13149.1
1,0.563,0.05,13125
1,0.564,0.05,13100.9
1,0.565,0.05,13076.8
1,0.566,0.05,13052.7
1,0.567,0.05,13029
1,0.568,0.05,13006
1,0.569,0.05,12983.1
1,0.57,0.05,12960.1
1,0.571,0.05,12937.1
1,0.572,0.05,12914.1
1,0.573,0.05,12891.2
1,0.574,0.05,12868.2
1,0.575,0.05,12845.2
1,0.576,0.05,12822.3
1,0.577,0.05,12799.3
1,0.578,0.05,12776.3
1,0.579,0.05,12753.3
1,0.58,0.05,12730.4
1,0.581,0.05,12707.4
1,0.582,0.05,12684.4
1,0.583,0.05,12661.5
1,0.584,0.05,12638.5
1,0.585,0.05,12615.5
1,0.586,0.05,12592.5
1,0.587,0.05,12569.6
1,0.588,0.05,12546.6
1,0.589,0.05,12523.6
1,0.59,0.05,12500.7
1,0.591,0.05,12477.7
1,0.592,0.05,12454.7
1,0.593,0.05,12431.7
1,0.594,0.05,12408.8
1,0.595,0.05,12385.8
1,0.596,0.05,12362.8
1,0.597,0.05,12339.9
1,0.598,0.05,12316.9
1,0.599,0.05,12293.9
1,0.6,0.05,12271
1,0.601,0.05,12249
1,0.602,0.05,12227.1
1,0.603,0.05,12205.2
1,0.604,0.05,12183.3
1,0.605,0.05,12161.4
1,0.606,0.05,12139.5
1,0.607,0.05,12117.6
1,0.608,0.05,12095.6
1,0.609,0.05,12073.7
1,0.61,0.05,12051.8
1,0.611,0.05,12029.9
1,0.612,0.05,12008
1,0.613,0.05,11986.1
1,0.614,0.05,11964.2
