Points_0,Points_1,Points_2,qr
0.455,1,0.05,13360.2
0.456,1,0.05,13362.2
0.457,1,0.05,13364.1
0.458,1,0.05,13366.1
0.459,1,0.05,13368.1
0.46,1,0.05,13370.1
0.461,1,0.05,13372
0.462,1,0.05,13374
0.463,1,0.05,13376
0.464,1,0.05,13377.9
0.465,1,0.05,13379.9
0.466,1,0.05,13381.9
0.467,1,0.05,13383.4
0.468,1,0.05,13384.1
0.469,1,0.05,13384.7
0.47,1,0.05,13385.4
0.471,1,0.05,13386
0.472,1,0.05,13386.7
0.473,1,0.05,13387.4
0.474,1,0.05,13388
0.475,1,0.05,13388.7
0.476,1,0.05,13389.3
0.477,1,0.05,13390
0.478,1,0.05,13390.6
0.479,1,0.05,13391.3
0.48,1,0.05,13392
0.481,1,0.05,13392.6
0.482,1,0.05,13393.3
0.483,1,0.05,13393.9
0.484,1,0.05,13394.6
0.485,1,0.05,13395.2
0.486,1,0.05,13395.9
0.487,1,0.05,13396.6
0.488,1,0.05,13397.2
0.489,1,0.05,13397.9
0.49,1,0.05,13398.5
0.491,1,0.05,13399.2
0.492,1,0.05,13399.8
0.493,1,0.05,13400.5
0.494,1,0.05,13401.2
0.495,1,0.05,13401.8
0.496,1,0.05,13402.5
0.497,1,0.05,13403.1
0.498,1,0.05,13403.8
0.499,1,0.05,13404.4
0.5,1,0.05,13405.1
0.501,1,0.05,13404.4
0.502,1,0.05,13403.8
0.503,1,0.05,13403.1
0.504,1,0.05,13402.5
0.505,1,0.05,13401.8
0.506,1,0.05,13401.2
0.507,1,0.05,13400.5
0.508,1,0.05,13399.8
0.509,1,0.05,13399.2
0.51,1,0.05,13398.5
0.511,1,0.05,13397.9
0.512,1,0.05,13397.2
0.513,1,0.05,13396.6
0.514,1,0.05,13395.9
0.515,1,0.05,13395.2
0.516,1,0.05,13394.6
0.517,1,0.05,13393.9
0.518,1,0.05,13393.3
0.519,1,0.05,13392.6
0.52,1,0.05,13392
0.521,1,0.05,13391.3
0.522,1,0.05,13390.6
0.523,1,0.05,13390
0.524,1,0.05,13389.3
0.525,1,0.05,13388.7
0.526,1,0.05,13388
0.527,1,0.05,13387.4
0.528,1,0.05,13386.7
0.529,1,0.05,13386
0.53,1,0.05,13385.4
0.531,1,0.05,13384.7
0.532,1,0.05,13384.1
0.533,1,0.05,13383.4
0.534,1,0.05,13381.9
0.535,1,0.05,13379.9
0.536,1,0.05,13377.9
0.537,1,0.05,13376
0.538,1,0.05,13374
0.539,1,0.05,13372
0.54,1,0.05,13370.1
0.541,1,0.05,13368.1
0.542,1,0.05,13366.1
0.543,1,0.05,13364.1
0.544,1,0.05,13362.2
0.545,1,0.05,13360.2
0.546,1,0.05,13358.2
0.547,1,0.05,13356.3
0.548,1,0.05,13354.3
0.549,1,0.05,13352.3
0.55,1,0.05,13350.3
0.551,1,0.05,13348.4
0.552,1,0.05,13346.4
