Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0.248,0,0.05,0.25299,-3544.01,23372.4,19828.4
0.249,0,0.05,0.25397,-3544.01,23388,19844
0.25,0,0.05,0.254951,-3544.01,23403.7,19859.7
0.251,0,0.05,0.255932,-3544.01,23414.9,19870.9
0.252,0,0.05,0.256912,-3544.01,23426.2,19882.2
0.253,0,0.05,0.257893,-3544.01,23437.5,19893.5
0.254,0,0.05,0.258874,-3544.01,23448.8,19904.8
0.255,0,0.05,0.259856,-3544.01,23460.1,19916.1
0.256,0,0.05,0.260837,-3544.01,23471.4,19927.4
0.257,0,0.05,0.261819,-3544.01,23482.7,19938.7
0.258,0,0.05,0.2628,-3544.01,23494,19950
0.259,0,0.05,0.263782,-3544.01,23505.3,19961.3
0.26,0,0.05,0.264764,-3544.01,23516.6,19972.6
0.261,0,0.05,0.265746,-3544.01,23527.9,19983.9
0.262,0,0.05,0.266728,-3544.01,23539.2,19995.2
0.263,0,0.05,0.267711,-3544.01,23550.5,20006.5
0.264,0,0.05,0.268693,-3544.01,23561.8,20017.8
0.265,0,0.05,0.269676,-3544.01,23573.1,20029.1
0.266,0,0.05,0.270658,-3544.01,23584.4,20040.4
0.267,0,0.05,0.271641,-3544.01,23595.7,20051.7
0.268,0,0.05,0.272624,-3544.01,23607,20063
0.269,0,0.05,0.273607,-3544.01,23618.3,20074.3
0.27,0,0.05,0.274591,-3544.01,23629.6,20085.6
0.271,0,0.05,0.275574,-3544.01,23640.9,20096.9
0.272,0,0.05,0.276557,-3544.01,23652.2,20108.2
0.273,0,0.05,0.277541,-3544.01,23663.5,20119.5
0.274,0,0.05,0.278525,-3544.01,23674.8,20130.8
0.275,0,0.05,0.279509,-3544.01,23686.1,20142.1
0.276,0,0.05,0.280492,-3544.01,23697.4,20153.4
0.277,0,0.05,0.281476,-3544.01,23708.7,20164.7
0.278,0,0.05,0.282461,-3544.01,23720,20176
0.279,0,0.05,0.283445,-3544.01,23731.3,20187.3
0.28,0,0.05,0.284429,-3544.01,23742.6,20198.6
0.281,0,0.05,0.285414,-3544.01,23753.9,20209.9
0.282,0,0.05,0.286398,-3544.01,23765.2,20221.2
0.283,0,0.05,0.287383,-3544.01,23776.5,20232.5
0.284,0,0.05,0.288368,-3544.01,23787.8,20243.8
0.285,0,0.05,0.289353,-3544.01,23799.1,20255.1
0.286,0,0.05,0.290338,-3544.01,23810.4,20266.4
0.287,0,0.05,0.291323,-3544.01,23821.7,20277.7
0.288,0,0.05,0.292308,-3544.01,23833,20289
0.289,0,0.05,0.293293,-3544.01,23844.3,20300.3
0.29,0,0.05,0.294279,-3544.01,23855.6,20311.6
0.291,0,0.05,0.295264,-3544.01,23866.9,20322.9
0.292,0,0.05,0.29625,-3544.01,23878.2,20334.2
0.293,0,0.05,0.297236,-3544.01,23889.5,20345.5
0.294,0,0.05,0.298221,-3544.01,23900.8,20356.8
0.295,0,0.05,0.299207,-3544.01,23912.1,20368.1
