Points_0,Points_1,Points_2,qr
0,0.48,0.05,15216.2
0,0.481,0.05,15189.6
0,0.482,0.05,15163
0,0.483,0.05,15136.4
0,0.484,0.05,15109.8
0,0.485,0.05,15083.2
0,0.486,0.05,15056.6
0,0.487,0.05,15030
0,0.488,0.05,15003.4
0,0.489,0.05,14976.7
0,0.49,0.05,14950.1
0,0.491,0.05,14923.5
0,0.492,0.05,14896.9
0,0.493,0.05,14870.3
0,0.494,0.05,14843.7
0,0.495,0.05,14817.1
0,0.496,0.05,14790.5
0,0.497,0.05,14763.9
0,0.498,0.05,14737.3
0,0.499,0.05,14710.7
0,0.5,0.05,14684.1
0,0.501,0.05,14658.7
0,0.502,0.05,14633.4
0,0.503,0.05,14608.1
0,0.504,0.05,14582.8
0,0.505,0.05,14557.5
0,0.506,0.05,14532.1
0,0.507,0.05,14506.8
0,0.508,0.05,14481.5
0,0.509,0.05,14456.2
0,0.51,0.05,14430.9
0,0.511,0.05,14405.6
0,0.512,0.05,14380.2
0,0.513,0.05,14354.9
0,0.514,0.05,14329.6
0,0.515,0.05,14304.3
0,0.516,0.05,14279
0,0.517,0.05,14253.7
0,0.518,0.05,14228.3
0,0.519,0.05,14203
0,0.52,0.05,14177.7
0,0.521,0.05,14152.4
0,0.522,0.05,14127.1
0,0.523,0.05,14101.8
0,0.524,0.05,14076.4
0,0.525,0.05,14051.1
0,0.526,0.05,14025.8
0,0.527,0.05,14000.5
0,0.528,0.05,13975.2
0,0.529,0.05,13949.9
0,0.53,0.05,13924.5
0,0.531,0.05,13899.2
0,0.532,0.05,13873.9
0,0.533,0.05,13848.6
0,0.534,0.05,13824.1
0,0.535,0.05,13800
0,0.536,0.05,13775.9
0,0.537,0.05,13751.8
0,0.538,0.05,13727.7
0,0.539,0.05,13703.6
0,0.54,0.05,13679.5
0,0.541,0.05,13655.3
0,0.542,0.05,13631.2
0,0.543,0.05,13607.1
0,0.544,0.05,13583
0,0.545,0.05,13558.9
0,0.546,0.05,13534.8
0,0.547,0.05,13510.7
0,0.548,0.05,13486.6
0,0.549,0.05,13462.5
0,0.55,0.05,13438.4
0,0.551,0.05,13414.3
0,0.552,0.05,13390.2
0,0.553,0.05,13366.1
0,0.554,0.05,13342
0,0.555,0.05,13317.9
0,0.556,0.05,13293.8
0,0.557,0.05,13269.7
0,0.558,0.05,13245.6
0,0.559,0.05,13221.5
0,0.56,0.05,13197.4
